#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu26,953,115,85,32,51,8,41,213,1,38,38,25,6,99,197,176,6333,1816,0,0,0,0,421,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,1,,,,,,,,
Otu68,51,242,271,3,228,47,137,38,14,17,5,14,1,60,22,43,13,6,808,82,265,0,0,0,0,4352,0,1,1,0,0,0,0,1,0,2321,100,0,1,0,0,868,0,442,0,0,0,0,0,0,,,,,,,,
Otu45,3,30,18,8,4,12,6,0,0,193,126,86,48,180,1,0,6,4,154,136,57,0,293,1,0,1,1420,0,46,1,104,1,0,0,0,0,653,0,1,0,4452,0,0,83,0,0,1905,0,0,0,,,,,,,,
Otu20,778,116,84,27,76,9,50,584,221,83,53,86,79,96,594,622,0,0,0,0,0,0,0,0,210,0,15,1,0,0,2014,0,46,663,0,0,13,4,0,0,0,0,111,1,0,1885,0,320,0,0,,,,,,,,
Otu38,229,10,11,2,7,5,2,170,40,14,5,33,11,51,102,135,421,93,0,0,0,0,0,0,0,0,0,0,0,2,1586,0,0,0,0,0,2,0,0,0,0,1878,0,22,0,225,567,3175,0,0,,,,,,,,
Otu43,189,38,46,17,4,1,5,112,1,26,49,28,15,38,84,80,732,158,1,0,0,0,955,0,0,0,0,0,0,1,1,1,0,1,0,23,0,0,0,5467,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu18,46,607,1601,125,0,0,4,7,0,8,0,9,4,777,4,0,299,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1426,0,989,1,1795,0,0,0,0,0,2,0,0,0,0,,,,,,,,
Otu46,0,1,0,0,2,2,1,0,2,2,1,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,6053,0,0,0,0,0,0,831,0,0,0,0,0,0,,,,,,,,
Otu17,240,103,117,26,92,19,79,82,374,136,88,139,66,132,105,101,0,15,0,0,26,0,0,0,0,0,0,0,31,0,0,0,1,1,3665,0,0,0,1,0,1,590,642,1,0,0,33,341,0,0,,,,,,,,
Otu41,61,47,50,12,111,8,336,25,5,387,121,494,7,150,0,5,64,64,0,0,0,0,0,0,0,0,0,189,1173,0,0,0,0,0,0,0,0,0,0,0,0,577,297,0,3033,0,0,0,0,1,,,,,,,,
