#OTU ID,OMA1,OMA10,OMA11,OMA12,OMA13,OMA14,OMA15,OMA16,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA23,OMA24,OMA25,OMA26,OMA27,OMA28,OMA29,OMA3,OMA30,OMA31,OMA32,OMA33,OMA34,OMA35,OMA36,OMA37,OMA38,OMA39,OMA4,OMA40,OMA41,OMA42,OMA43,OMA44,OMA45,OMA46,OMA47,OMA48,OMA5,OMA6,OMA7,OMA8,OMA9,WGA10,WGA100,WGA106,WGA108,WGA111,WGA12,WGA13,WGA132,WGA133,WGA137,WGA139,WGA143,WGA145,WGA146,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,WGA97,WGA98,WGA99
Otu14,423,0,929,487,20,101,121,54,179,83,303,1265,116,102,89,1,2,2,46,37,433,201,1675,212,167,197,249,175,143,126,373,2543,1514,854,4477,676,251,10,931,503,119,2,2,0,0,0,0,0,538,99,0,18,26,0,1779,0,0,75,23,13,63,18,1,0,537,0,3,5411,3,1588,432,1760,9,158,2,0,0,47,340,5373,1,0,0,0,1318,1,0,0,0,0,11,0,0,572
Otu15,1784,229,168,206,20,91,13,37,66,20,68,2396,108,62,21,755,766,528,122,48,216,174,1959,272,191,105,124,88,112,154,307,4516,4577,2594,5195,544,963,18,440,1095,636,2,0,35,65,107,180,885,0,662,0,0,0,2,0,271,0,0,0,7,0,168,0,12,0,0,0,0,0,0,28,2165,0,707,0,0,0,35,125,0,0,38,0,0,5,0,4,36,0,0,0,0,0,0
Otu24,683,295,433,226,68,64,38,31,286,107,225,316,54,223,105,774,1104,729,215,64,612,560,224,464,585,498,981,344,408,295,899,1203,772,236,2056,530,851,30,752,369,141,711,233,68,132,92,1217,616,774,0,32,0,0,135,272,0,21,182,16,49,0,52,0,0,0,506,0,0,18,0,152,589,0,0,266,208,4,155,6,0,1267,4,0,4179,43,4723,1,159,1,0,0,0,0,0
Otu18,46,1,607,1601,125,16,1,0,0,0,4,7,0,8,0,64,87,57,9,4,777,1412,4,1849,1259,1544,1493,1096,1179,985,3424,1,1,0,11,243,41,4,9,13,1,299,92,653,286,6,2794,1,0,309,2738,1,1145,0,0,0,393,762,7,55,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1426,0,989,1,1795,0,0,0,0,0,2,0,0,0,0,869,146,199
Otu16,414,741,237,276,215,161,105,224,250,173,92,738,921,312,272,318,2492,968,197,71,394,182,510,252,122,80,120,147,98,120,111,711,589,875,1670,355,700,40,273,115,90,199,76,1176,2765,2743,747,1173,1524,278,0,0,0,169,26,0,3,61,0,0,0,0,0,0,7,1,0,319,0,371,124,996,0,0,0,3,0,107,185,0,0,91,13,464,565,1452,43,0,31,0,9,0,189,0
Otu17,240,315,103,117,26,64,196,103,92,19,79,82,374,136,88,804,790,363,139,66,132,371,105,257,293,125,315,85,139,100,513,82,41,101,1099,1099,1412,76,405,193,61,0,15,432,1186,150,960,387,0,1,2,0,1,0,26,1,8,0,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,1,3665,0,0,0,1,0,1,590,642,1,0,0,33,341,0,0,1,1.03E+04,1
Otu20,778,86,116,84,27,69,22,61,76,9,50,584,221,83,53,2767,1439,1862,86,79,96,124,594,201,287,112,117,49,174,70,137,537,154,622,676,12,54,2,72,58,18,0,0,0,0,0,496,286,0,2,271,1,0,0,0,0,0,0,6,0,0,0,0,0,0,210,0,15,1,0,0,2014,0,46,663,0,0,13,4,0,0,0,0,111,1,0,1885,0,320,0,0,1106,6511,3
Otu30,557,151,57,85,19,29,7,42,62,41,56,835,148,77,77,1002,698,782,93,47,154,57,526,35,43,23,42,54,36,26,46,2137,1483,1159,1760,94,218,18,455,257,73,612,153,22,17,55,235,308,2072,0,0,0,0,66,12,0,7,123,1,0,0,77,0,0,0,0,0,0,0,74,2133,2480,0,0,0,0,14,123,96,0,0,0,493,1,376,0,10,1910,466,2,1,93,0,0
Otu19,1,19,2,9,20,576,746,152,1918,798,125,0,489,132,250,0,0,0,21,7,41,44,0,32,11,3,8,28,7,4,18,1,1,0,1,33,119,24,39,6,3,0,1,0,0,0,10,2,1029,0,0,0,0,127,2008,0,0,0,0,0,0,0,0,0,0,15,2,0,0,22,0,6250,0,0,0,0,0,3678,0,0,0,0,0,0,2786,0,0,0,0,0,17,0,0,0
Otu22,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,55,0,0,0,0,0,0,0,0,1,1,2,5,1,2,1,299,1.70E+04,20,2,4,0,0,0,36,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu42,43,306,70,59,97,373,151,301,688,240,309,45,1114,585,153,185,187,137,190,34,680,213,64,261,105,63,129,174,116,143,166,57,43,107,255,98,389,9,155,128,150,2,1,210,399,226,240,482,0,0,1,0,18,15,0,0,0,1,0,0,0,0,0,13,0,67,0,165,0,5,123,2144,0,0,0,0,0,1439,0,0,0,0,0,0,802,0,0,0,0,0,0,0,1656,0
Otu68,51,6,242,271,3,33,24,7,228,47,137,38,14,17,5,12,6,5,14,1,60,544,22,248,330,254,343,161,290,151,833,53,49,43,89,778,147,10,224,106,15,13,6,1,1,0,76,8,808,0,0,0,0,82,265,0,1,0,0,0,0,0,0,0,0,0,4352,0,1,1,0,0,0,0,1,0,2321,100,0,1,0,0,868,0,442,0,0,0,0,0,0,1,0,0
Otu28,6,10,46,86,2,18,8,9,20,5,28,3,0,28,8,14,14,32,22,5,31,203,0,129,128,47,110,28,65,39,146,9,3,0,33,3552,1180,142,563,273,91,4,8,0,0,0,510,28,0,0,6729,0,0,0,0,1,0,0,0,3,0,0,0,12,0,0,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,448,1,0,0,0,0,0,1,0,1,0
Otu23,2,673,9,21,16,266,169,274,603,233,238,5,673,273,274,63,103,82,111,21,74,125,4,146,55,33,33,32,25,19,136,3,3,4,18,179,562,27,284,61,49,0,0,887,4211,1196,538,726,0,0,0,0,0,43,271,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,58,21,0,0,0,14,492,0,240,0,0,0,0,0,0,0,0,0
Otu26,953,16,115,85,32,18,11,21,51,8,41,213,1,38,38,127,108,91,25,6,99,191,197,101,206,127,201,61,126,56,165,345,114,176,475,9,15,1,49,30,10,6333,1816,21,98,57,11,33,0,61,0,0,0,0,0,1,15,0,0,0,0,0,0,421,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,1,1,0,0
Otu29,1,83,2,8,2,13,42,18,102,21,29,1,11,47,10,10,9,21,16,0,31,31,1,42,3,8,5,3,2,5,20,2,0,0,3,298,630,70,51,7,14,0,0,1015,3822,2884,46,123,2398,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0
Otu53,3,0,0,17,1,9,22,6,16,0,3,2,11,1,5,9,1,18,22,9,26,2,2,8,1,0,13,2,2,2,51,0,0,5,7,9,49,3,1,4,2,0,1,34,43,17,3,1,0,0,8780,0,1,0,2,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2788,0,0,0,0,0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3
Otu45,3,0,30,18,8,3,3,11,4,12,6,0,0,193,126,0,1,2,86,48,180,32,1,38,50,53,31,28,26,23,37,0,0,0,12,0,10,0,499,246,131,6,4,0,0,0,51,0,154,0,16,0,0,136,57,0,0,0,0,0,0,0,0,293,1,0,1,1420,0,46,1,104,1,0,0,0,0,653,0,1,0,4452,0,0,83,0,0,1905,0,0,0,718,0,0
Otu32,326,5,32,21,6,4,1,5,11,3,8,25,5,12,10,1541,2271,1070,1,1,38,47,8,133,55,29,73,27,51,35,47,0,2,11,32,1,0,0,0,0,3,0,0,0,1,1,149,13,0,8,0,0,88,0,0,336,78,0,0,0,0,0,0,0,0,0,0,130,0,0,4616,0,1,0,23,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,185
Otu34,94,103,69,101,119,213,895,174,292,157,227,50,186,441,315,102,175,97,50,33,288,182,26,202,124,77,89,330,139,157,301,47,67,57,259,278,841,42,76,42,39,0,1,89,122,80,196,185,0,0,0,0,0,102,75,0,0,0,0,0,0,581,0,0,0,0,0,150,15,227,91,428,0,0,0,0,0,240,0,0,0,416,0,0,803,0,0,0,0,0,3,0,0,0
Otu25,0,2163,0,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11,1,5,1,0,0,0,4,2,474,2338,1059,2350,2427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu36,419,13,27,13,2,7,5,16,5,7,0,304,14,18,67,57,33,37,17,20,27,19,95,23,22,17,36,20,16,14,22,178,134,225,273,2,13,1,14,5,14,1909,398,22,61,30,100,38,0,0,0,0,3658,50,236,2,9,0,0,0,0,0,0,0,0,0,44,0,0,15,0,88,0,0,0,0,0,143,0,0,0,0,1126,0,333,26,0,0,22,0,0,0,0,1
Otu44,81,362,111,89,13,73,218,83,488,94,254,26,163,127,110,80,156,172,119,9,467,364,23,653,278,116,394,79,130,106,752,98,96,38,332,486,1083,49,309,97,99,51,34,2,7,4,426,449,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,12,0,0,0,0,0,0,374,0,0,0,0,0,2,0,0,0
Otu38,229,2,10,11,2,3,0,4,7,5,2,170,40,14,5,95,10,39,33,11,51,7,102,6,14,10,6,10,4,5,8,314,167,135,388,12,19,1,61,38,14,421,93,0,7,18,8,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1586,0,0,0,0,0,2,0,0,0,0,1878,0,22,0,225,567,3175,0,0,0,0,0
Otu37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9776,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
