,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10254,NbO-A5-AX,NbO-A5,18,Axenic,3.238556,3.529093,3.615126,3.6301,NbO-A5,A1
10255,NbO-A5-AX,NbO-A5,18,Axenic,3.22933,3.197036,3.392111,3.702064,NbO-A5,A1
10256,NbO-A5-AX,NbO-A5,18,Axenic,3.232748,3.433044,3.591628,3.767545,NbO-A5,A1
10257,NbO-A5-AX,NbO-A5,18,Axenic,3.292731,3.518216,3.557012,3.545753,NbO-A5,A1
10258,NbO-A5-AX,NbO-A5,18,Axenic,3.562489,3.570848,3.490466,3.856922,NbO-A5,A1
10259,NbO-A5-AX,NbO-A5,18,Axenic,3.28673,3.442317,3.602132,3.887531,NbO-A5,A1
10260,NbO-A5-AX,NbO-A5,18,Axenic,3.292378,3.298583,3.508802,3.456236,NbO-A5,A1
10261,NbO-A5-AX,NbO-A5,18,Axenic,3.327805,3.412349,3.582425,3.866988,NbO-A5,A1
10262,NbO-A5-AX,NbO-A5,18,Axenic,3.206623,3.714858,3.668544,3.616243,NbO-A5,A1
10263,NbO-A5-AX,NbO-A5,18,Axenic,3.409726,3.398646,3.402128,3.703658,NbO-A5,A1
10264,NbO-A5-AX,NbO-A5,18,Axenic,3.331049,3.259804,3.477179,3.362632,NbO-A5,A1
10265,NbO-A5-AX,NbO-A5,18,Axenic,3.288816,3.487024,3.562517,3.700035,NbO-A5,A1
10266,NbO-A5-AX,NbO-A5,18,Axenic,3.366875,3.461025,2.977148,4.25421,NbO-A5,A1
10267,NbO-A5-AX,NbO-A5,18,Axenic,3.168048,3.441856,3.465439,3.650547,NbO-A5,A1
10268,NbO-A5-AX,NbO-A5,18,Axenic,3.383927,3.371969,3.506337,3.390546,NbO-A5,A1
10269,NbO-A5-AX,NbO-A5,18,Axenic,3.160028,3.331333,3.473171,3.799923,NbO-A5,A1
10270,NbO-A5-AX,NbO-A5,18,Axenic,3.250278,3.350421,3.378553,3.716811,NbO-A5,A1
10271,NbO-A5-AX,NbO-A5,18,Axenic,3.262595,3.336303,3.647841,3.752067,NbO-A5,A1
