#OTU ID	info	strain_26	diatom_strain	Treatment	Treatment3	Treatment4	Pop	Pop2	Pop3	Sample_Site	treatment_26	treatment_26	extract	definition_26	temp	col	col2	col_26	pch	culture	definition	keep_2026	diatom_control	innoc
OMA26	YE5-A_18	B1	NbP-YE5	YE5	YE5	YE5	CG2	CG2	PopB	NbP	NbP-YE5 BA	B1 Coculture	Filter	Coculture	18	firebrick	#3BB273	#E15554	21	Single	assemblage	yes	diatom	NA
OMA27	YE5-B_18	B1	NbP-YE5	YE5	YE5	YE5	CG2	CG2	PopB	NbP	NbP-YE5 BA	B1 Coculture	Filter	Coculture	18	firebrick	#3BB273	#E15554	21	Single	assemblage	yes	diatom	NA
OMA28	YE5-C_18	B1	NbP-YE5	YE5	YE5	YE5	CG2	CG2	PopB	NbP	NbP-YE5 BA	B1 Coculture	Filter	Coculture	18	firebrick	#3BB273	#E15554	21	Single	assemblage	yes	diatom	NA
OMA47	Bact-A_T0		Bact_Filtered_T0	Bact_T0	Bact_T0_filtered	Filtered_Inoculum	COMM_T0	COMM_T0	COMM_T0	COMM_T0	Filtered Inoculum		Filter_1	Innoculum	NA	black	black		21	NA	inoculum	yes	control	innoculum
OMA48	COMM_T0		WSW_Inoculum	COMM	Bact_T0	WSW_Inoculum	COMM_T0	COMM_T0	COMM_T0	COMM_T0	WSW Inoculum		Filter_1	Innoculum	NA	black	black		21	NA	inoculum	yes	control	innoculum
WGA3	WGA_RA5-A	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
WGA4	WGA_RA5-A	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
WGA5	WGA_RA5-A	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
WGA7	WGA_RA5-A_Blank		NbO-A5_Blank	RA5_Blank	RA5_Blank	RA5_Blank	March	Bact_CG1	Bact_PopA	Bact_NbO	NbO-A5_Blank		WGA		18	steelblue4	#4D9DE0	#7768AE	23	Single	bacterioplankton	yes	control	NA
WGA10	WGA_RA5-B	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
WGA12	WGA_RA5-B	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
WGA13	WGA_RA5-B	A1	NbO-A5	RA5	RA5_WGA	RA5_WGA	March	CG1	PopA	NbO	NbO-A5 Micro	A1 Algal-cell associated	WGA	Algal-cell associated	18	steelblue4	#4D9DE0	#7768AE	22	Single	microbiome	yes	diatom	NA
